koi_id,kic_id,npl,mstar,mstar_err1,mstar_err2,rstar,rstar_err1,rstar_err2,period,epoch,depth,duration
K00787,12366084,4,1.171,0.1279999999999999,0.1140000000000001,1.094,0.067,0.062,4.431238488,2455004.015,1010.9,3.15
K00787,12366084,4,1.171,0.1279999999999999,0.1140000000000001,1.094,0.067,0.062,11.37936986,2454966.85,1023.5,2.6255
K00835,5456651,3,0.72,0.04500000000000004,0.041999999999999926,0.769,0.038,0.036,11.76307164,2455013.936,1037.3,2.9076
K00835,5456651,3,0.72,0.04500000000000004,0.041999999999999926,0.769,0.038,0.036,56.2279271,2454965.293,862.7,3.57
K00911,8490993,3,0.93,0.11399999999999999,0.08900000000000008,0.944,0.081,0.073,4.093578461,2455004.01,538.6,2.5833
K00911,8490993,3,0.93,0.11399999999999999,0.08900000000000008,0.944,0.081,0.073,105.145959,2455011.367,685.4,8.593
K01001,1871056,3,3.344,0.27600000000000025,0.2519999999999998,1.99,0.092,0.087,40.8065333,2454988.716,313.9,13.135
K01001,1871056,3,3.344,0.27600000000000025,0.2519999999999998,1.99,0.092,0.087,140.10765,2455049.217,266.8,18.503
K01239,6607286,3,0.899,0.06599999999999995,0.061000000000000054,0.918,0.054,0.05,0.783276173,2455188.949,264.7,1.6735
K01239,6607286,3,0.899,0.06599999999999995,0.061000000000000054,0.918,0.054,0.05,3.17405898,2455190.058,282.2,2.3156
K01306,10858691,5,0.854,0.119,0.09999999999999998,0.881,0.097,0.083,1.796320953,2454966.337,210.9,1.9139
K01306,10858691,5,0.854,0.119,0.09999999999999998,0.881,0.097,0.083,3.468073,2454969.008,243.9,2.361
K01306,10858691,5,0.854,0.119,0.09999999999999998,0.881,0.097,0.083,5.9142668,2454966.492,253.2,2.661
K01306,10858691,5,0.854,0.119,0.09999999999999998,0.881,0.097,0.083,29.2214959,2454972.328,394.0,4.014
K01338,4466677,4,0.983,0.07399999999999995,0.05499999999999994,0.986,0.046,0.044,3.222975318,2455011.07,232.7,2.9247
K01338,4466677,4,0.983,0.07399999999999995,0.05499999999999994,0.986,0.046,0.044,42.0370662,2455011.25,266.8,6.282
K01338,4466677,4,0.983,0.07399999999999995,0.05499999999999994,0.986,0.046,0.044,21.0112068,2454965.634,163.6,4.507
K01519,7663405,3,0.827,0.05400000000000005,0.050999999999999934,0.859,0.045,0.043,5.1443645,2454966.83,310.7,2.703
K00172,8692861,3,1.43,0.1120000000000001,0.10299999999999998,1.226,0.054,0.051,13.7223682,2454970.841,571.1,5.1231
K00179,9663113,3,4.065,0.3719999999999999,0.3370000000000002,2.224,0.114,0.107,20.74028645,2454975.8,1023.3,10.3939
K00172,8692861,3,1.43,0.1120000000000001,0.10299999999999998,1.226,0.054,0.051,242.467406,2454983.858,340.3,12.808
K00179,9663113,3,4.065,0.3719999999999999,0.3370000000000002,2.224,0.114,0.107,572.376632,2455139.51,1743.4,24.42
K00327,9881662,3,1.351,0.10299999999999998,0.09600000000000009,1.187,0.051,0.049,3.254277742,2455005.663,159.9,2.9903
K00327,9881662,3,1.351,0.10299999999999998,0.09600000000000009,1.187,0.051,0.049,91.3514816,2455022.601,210.0,8.707
K00343,10982872,4,1.212,0.09299999999999997,0.08400000000000007,1.116,0.048,0.045,4.761705895,2455003.336,497.1,3.3061
K00343,10982872,4,1.212,0.09299999999999997,0.08400000000000007,1.116,0.048,0.045,2.024143568,2455003.496,239.4,2.5273
K00343,10982872,4,1.212,0.09299999999999997,0.08400000000000007,1.116,0.048,0.045,41.8085031,2454981.708,190.4,7.797
K00600,10718726,3,1.401,0.1299999999999999,0.119,1.212,0.063,0.06,3.595769013,2455003.369,383.7,3.1569
K00787,12366084,4,1.171,0.1279999999999999,0.1140000000000001,1.094,0.067,0.062,0.589376952,2454964.869,80.7,1.71
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,18.16407304,2455013.812,943.2,2.9355
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,5.71489692,2455003.922,425.9,2.3572
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,122.3858681,2454983.412,711.1,7.123
K00655,5966154,3,1.517,0.121,0.11199999999999988,1.268,0.057,0.054,25.6721559,2455025.097,387.1,5.9629
K00655,5966154,3,1.517,0.121,0.11199999999999988,1.268,0.057,0.054,151.8851881,2455009.413,360.6,12.091
K00711,9597345,4,1.095,0.08499999999999996,0.07699999999999996,1.053,0.046,0.043,44.6996563,2455007.821,837.7,6.2289
K00711,9597345,4,1.095,0.08499999999999996,0.07699999999999996,1.053,0.046,0.043,3.619309734,2454968.442,206.6,3.0504
K00711,9597345,4,1.095,0.08499999999999996,0.07699999999999996,1.053,0.046,0.043,124.5245224,2455087.178,689.9,9.654
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,12.4418003,2454967.651,78.4,3.572
K01196,3348082,3,1.521,0.15200000000000014,0.1379999999999999,1.27,0.071,0.067,11.63486009,2454973.501,292.3,5.466
K01196,3348082,3,1.521,0.15200000000000014,0.1379999999999999,1.27,0.071,0.067,33.1981761,2454975.099,336.7,4.709
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,267.282521,2455422.72,471.9,7.788
K00600,10718726,3,1.401,0.1299999999999999,0.119,1.212,0.063,0.06,294.055263,2455254.853,770.0,14.32
K01519,7663405,3,0.827,0.05400000000000005,0.050999999999999934,0.859,0.045,0.043,57.132855,2454985.992,414.1,4.958
K00172,8692861,3,1.43,0.1120000000000001,0.10299999999999998,1.226,0.054,0.051,83.16679272446940,2454916.1667927243,97.73231982102004,3.516657051443472
K00179,9663113,3,4.065,0.3719999999999999,0.3370000000000002,2.224,0.114,0.107,395.3338153369190,2455228.3338153367,249.32257933596435,7.120518613231944
K00327,9881662,3,1.351,0.10299999999999998,0.09600000000000009,1.187,0.051,0.049,70.89095034217920,2454903.890950342,996.4282630220422,4.09506096134112
K00343,10982872,4,1.212,0.09299999999999997,0.08400000000000007,1.116,0.048,0.045,14.968928587637900,2454847.9689285876,41.288130713024174,3.541460038690488
K00600,10718726,3,1.401,0.1299999999999999,0.119,1.212,0.063,0.06,225.30745544480200,2455058.3074554447,337.5126307320064,4.933805524196376
K00655,5966154,3,1.517,0.121,0.11199999999999988,1.268,0.057,0.054,30.92010955616280,2454863.920109556,58.277869611989,2.0390486741402016
K00701,9002278,6,0.653,0.03499999999999992,0.03200000000000003,0.711,0.03,0.028,80.64844261494080,2454913.648442615,108.5658004790213,3.9706899647407443
K00711,9597345,4,1.095,0.08499999999999996,0.07699999999999996,1.053,0.046,0.043,5.203989519976020,2454838.20398952,49.51798888497283,0.8015209917805368
K00787,12366084,4,1.171,0.1279999999999999,0.1140000000000001,1.094,0.067,0.062,1.8411726986178700,2454834.8411726984,100.39601000300102,0.5311741237004592
K00835,5456651,3,0.72,0.04500000000000004,0.041999999999999926,0.769,0.038,0.036,38.88507536155900,2454871.8850753615,157.8467131200245,3.5365869540345845
K00911,8490993,3,0.93,0.11399999999999999,0.08900000000000008,0.944,0.081,0.073,44.603000872320200,2454877.6030008723,205.89787924496505,4.285416861903072
K01001,1871056,3,3.344,0.27600000000000025,0.2519999999999998,1.99,0.092,0.087,107.31508971816900,2454940.315089718,98.61446274594954,7.734641177140992
K01196,3348082,3,1.521,0.15200000000000014,0.1379999999999999,1.27,0.071,0.067,15.928609849607400,2454848.9286098494,469.3342638070197,1.9332980450051038
K01239,6607286,3,0.899,0.06599999999999995,0.061000000000000054,0.918,0.054,0.05,1.63508949855026,2454834.6350894985,52.613637825049686,0.7755671088467497
K01306,10858691,5,0.854,0.119,0.09999999999999998,0.881,0.097,0.083,10.901598645491600,2454843.9015986454,125.59941736300928,2.5648722041284557
K01338,4466677,4,0.983,0.07399999999999995,0.05499999999999994,0.986,0.046,0.044,17.200885125522700,2454850.2008851254,79.10956944201519,3.1867926747764157
K01519,7663405,3,0.827,0.05400000000000005,0.050999999999999934,0.859,0.045,0.043,25.74298266797820,2454858.742982668,174.31591159500215,2.8533877978391042
